Name,RAh,RAm,RAs,DEd,DEm,DEs,GLON,GLAT,Flux,e_Flux,NHIWNM,NHICNM,NHItot
3C333,16,15,5,21,14,51,37.3,42.97,1.89,0.01,3.99,1.1,5.09
3C348,16,48,40,5,4,28,23.05,28.95,46.11,0.75,4.15,1.55,5.7
3C353,17,17,54,0,55,55,21.2,19.64,48.76,1.7,3.84,7,10.85
4C13.65,17,56,13,13,28,42,39.31,17.72,2.4,0.06,7.72,1.46,9.18
4C13.67,18,35,12,13,28,3,43.5,9.15,1.69,0.01,12.76,3.96,16.72
3C409,20,12,18,23,25,42,63.4,-6.12,17.08,0.15,19.73,6.06,25.79
3C410,20,18,3,29,32,35,69.21,-3.77,10.06,0,32.78,15.44,48.22
3C433,21,21,30,24,51,17,74.48,-17.69,13.22,0.15,5.06,2.83,7.89
3C454.0,22,49,7,18,32,44,87.35,-35.65,2.29,0.03,4.13,1.24,5.37
3C454.3,22,51,29,15,52,56,86.11,-38.18,17.22,0.38,4.8,1.72,6.53

